City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
333,Olafsvik,IS,64.8945,-23.7142,48.43,86,62,14.94,broken clouds
334,Soverato,IT,38.685,16.5499,75.15,75,1,18.59,clear sky
335,Ondangwa,NA,-17.9167,15.95,57.2,35,0,8.05,clear sky
336,Prabumulih,ID,-3.45,104.25,68.72,98,100,1.72,overcast clouds
337,Ampanihy,MG,-24.7,44.75,61.56,94,17,6.4,few clouds
338,Korla,CN,41.7597,86.1469,74.73,41,51,4.41,broken clouds
339,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,78.46,29,0,5.06,clear sky
340,Zambezi,ZM,-13.5432,23.1047,58.08,45,22,4.56,few clouds
341,Sahibganj,IN,25.25,87.65,80.58,88,100,3.85,overcast clouds
342,Roald,NO,62.5833,6.1333,66.16,88,90,12.66,overcast clouds
343,Faya,SA,18.3851,42.4509,68.11,69,100,7.65,overcast clouds
